country_code,country_name,iso_alpha3,region_code,apple_fiscal_segment,currency_code,tax_code,primary_language,timezone,ecommerce_supported,retail_store_supported,market_tier,population_millions,gdp_usd_billions,gdpr_applicable,is_active,effective_start_date,effective_end_date,created_at,source_system
US,United States,USA,AMER,Americas,USD,US_SALES_TAX,English,America/New_York,Y,Y,Tier1,335,27360,N,Y,1997-11-10,9999-12-31,2026-04-17 12:57:10.007906,MDM_CORE
JP,Japan,JPN,JAPAN,Japan,JPY,JP_VAT_STD,Japanese,Asia/Tokyo,Y,Y,Tier1,124,4230,N,Y,2003-11-04,9999-12-31,2026-04-17 12:57:10.007909,MDM_CORE
UK,United Kingdom,GBR,EMEA,Europe,GBP,UK_VAT_STD,English,Europe/London,Y,Y,Tier1,67,3090,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007911,MDM_CORE
DE,Germany,DEU,EMEA,Europe,EUR,DE_VAT_STD,German,Europe/Berlin,Y,Y,Tier1,84,4460,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007913,MDM_CORE
FR,France,FRA,EMEA,Europe,EUR,FR_VAT_STD,French,Europe/Paris,Y,Y,Tier1,68,2920,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007914,MDM_CORE
NL,Netherlands,NLD,EMEA,Europe,EUR,NL_VAT_STD,Dutch,Europe/Amsterdam,Y,Y,Tier2,18,1100,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007915,MDM_CORE
SE,Sweden,SWE,EMEA,Europe,SEK,SE_VAT_STD,Swedish,Europe/Stockholm,Y,Y,Tier2,10,590,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007917,MDM_CORE
CH,Switzerland,CHE,EMEA,Europe,CHF,CH_VAT_STD,German,Europe/Zurich,Y,Y,Tier2,9,870,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007918,MDM_CORE
BE,Belgium,BEL,EMEA,Europe,EUR,BE_VAT_STD,Dutch,Europe/Brussels,Y,N,Tier2,12,625,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007919,MDM_CORE
NO,Norway,NOR,EMEA,Europe,NOK,NO_VAT_STD,Norwegian,Europe/Oslo,Y,N,Tier2,5,546,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007921,MDM_CORE
DK,Denmark,DNK,EMEA,Europe,DKK,DK_VAT_STD,Danish,Europe/Copenhagen,Y,N,Tier2,6,404,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007922,MDM_CORE
FI,Finland,FIN,EMEA,Europe,EUR,FI_VAT_STD,Finnish,Europe/Helsinki,Y,N,Tier2,6,305,Y,Y,2004-06-15,9999-12-31,2026-04-17 12:57:10.007923,MDM_CORE
