tax_code,tax_type,tax_rate,tax_inclusive_flag,effective_start_date,effective_end_date,is_active,created_at,source_system
US_SALES_TAX,SALES_TAX,0.07,N,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007041,TAX_ENGINE
JP_VAT_STD,VAT,0.1,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007044,TAX_ENGINE
UK_VAT_STD,VAT,0.2,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007045,TAX_ENGINE
DE_VAT_STD,VAT,0.19,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007046,TAX_ENGINE
FR_VAT_STD,VAT,0.2,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007046,TAX_ENGINE
NL_VAT_STD,VAT,0.21,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007047,TAX_ENGINE
SE_VAT_STD,VAT,0.25,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007048,TAX_ENGINE
CH_VAT_STD,VAT,0.081,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007048,TAX_ENGINE
BE_VAT_STD,VAT,0.21,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007049,TAX_ENGINE
NO_VAT_STD,VAT,0.25,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007049,TAX_ENGINE
DK_VAT_STD,VAT,0.25,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007050,TAX_ENGINE
FI_VAT_STD,VAT,0.255,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007050,TAX_ENGINE
IE_VAT_STD,VAT,0.23,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007051,TAX_ENGINE
AT_VAT_STD,VAT,0.2,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007051,TAX_ENGINE
IT_VAT_STD,VAT,0.22,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007052,TAX_ENGINE
CA_GST_STD,GST,0.05,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007053,TAX_ENGINE
NZ_GST_STD,GST,0.15,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007053,TAX_ENGINE
AU_GST_STD,GST,0.1,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007054,TAX_ENGINE
ES_VAT_STD,VAT,0.21,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007054,TAX_ENGINE
CN_VAT_STD,VAT,0.13,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007055,TAX_ENGINE
HK_NO_TAX,NONE,0.0,N,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007056,TAX_ENGINE
IN_GST_STD,GST,0.18,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007056,TAX_ENGINE
TW_VAT_STD,VAT,0.05,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007057,TAX_ENGINE
KR_VAT_STD,VAT,0.1,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007057,TAX_ENGINE
MX_IVA_STD,IVA,0.16,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007058,TAX_ENGINE
PL_VAT_STD,VAT,0.23,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007058,TAX_ENGINE
AE_VAT_STD,VAT,0.05,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007059,TAX_ENGINE
SA_VAT_STD,VAT,0.15,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007059,TAX_ENGINE
BR_ICMS_STD,ICMS,0.17,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007060,TAX_ENGINE
TR_VAT_STD,VAT,0.2,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007061,TAX_ENGINE
SG_GST_STD,GST,0.09,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007061,TAX_ENGINE
MY_SST_STD,SST,0.1,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007062,TAX_ENGINE
IL_VAT_STD,VAT,0.17,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007062,TAX_ENGINE
ZA_VAT_STD,VAT,0.15,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007063,TAX_ENGINE
TH_VAT_STD,VAT,0.07,Y,2020-01-01,9999-12-31,Y,2026-04-17 12:57:10.007063,TAX_ENGINE
