sku_code,country_code,local_part_number,local_launch_date,local_discontinue_date,is_available,created_at,source_system
M44DB86LL/A,US,M44DB86LL/A,2019-09-20,,Y,2026-04-17 15:11:39.153916,MDM_PRODUCT
M44DB86LL/A,CA,M44DB86VC/A,2019-09-22,,Y,2026-04-17 15:11:39.153927,MDM_PRODUCT
M44DB86LL/A,MX,M44DB86LM/A,2019-09-29,,Y,2026-04-17 15:11:39.153937,MDM_PRODUCT
M44DB86LL/A,BR,M44DB86BZ/A,2019-10-01,,Y,2026-04-17 15:11:39.153942,MDM_PRODUCT
M44DB86LL/A,UK,M44DB86B/A,2019-09-21,,Y,2026-04-17 15:11:39.153947,MDM_PRODUCT
M44DB86LL/A,DE,M44DB86ZD/A,2019-09-23,,Y,2026-04-17 15:11:39.153951,MDM_PRODUCT
M44DB86LL/A,FR,M44DB86NF/A,2019-09-22,,Y,2026-04-17 15:11:39.153956,MDM_PRODUCT
M44DB86LL/A,IT,M44DB86T/A,2019-09-21,,Y,2026-04-17 15:11:39.153961,MDM_PRODUCT
M44DB86LL/A,ES,M44DB86Y/A,2019-09-22,,Y,2026-04-17 15:11:39.153965,MDM_PRODUCT
M44DB86LL/A,NL,M44DB86N/A,2019-09-22,,Y,2026-04-17 15:11:39.153969,MDM_PRODUCT
M44DB86LL/A,SE,M44DB86KS/A,2019-09-26,,Y,2026-04-17 15:11:39.153974,MDM_PRODUCT
M44DB86LL/A,CH,M44DB86ZD/A,2019-09-30,,Y,2026-04-17 15:11:39.153978,MDM_PRODUCT
M44DB86LL/A,BE,M44DB86BFN/A,2019-09-27,,Y,2026-04-17 15:11:39.153983,MDM_PRODUCT
M44DB86LL/A,NO,M44DB86H/A,2019-09-24,,Y,2026-04-17 15:11:39.153987,MDM_PRODUCT
M44DB86LL/A,DK,M44DB86DK/A,2019-09-24,,Y,2026-04-17 15:11:39.153992,MDM_PRODUCT
M44DB86LL/A,FI,M44DB86KN/A,2019-09-29,,Y,2026-04-17 15:11:39.153996,MDM_PRODUCT
M44DB86LL/A,IE,M44DB86B/A,2019-09-30,,Y,2026-04-17 15:11:39.154003,MDM_PRODUCT
M44DB86LL/A,AT,M44DB86ZD/A,2019-09-30,,Y,2026-04-17 15:11:39.154007,MDM_PRODUCT
M44DB86LL/A,PL,M44DB86ZE/A,2019-09-24,,Y,2026-04-17 15:11:39.154012,MDM_PRODUCT
M44DB86LL/A,TR,M44DB86TU/A,2019-10-11,,Y,2026-04-17 15:11:39.154016,MDM_PRODUCT
M44DB86LL/A,ZA,M44DB86XA/A,2019-10-16,,Y,2026-04-17 15:11:39.154023,MDM_PRODUCT
M44DB86LL/A,IL,M44DB86HB/A,2019-09-29,,Y,2026-04-17 15:11:39.154028,MDM_PRODUCT
M44DB86LL/A,JP,M44DB86J/A,2019-09-23,,Y,2026-04-17 15:11:39.154032,MDM_PRODUCT
M44DB86LL/A,CN,M44DB86CH/A,2019-09-25,,Y,2026-04-17 15:11:39.154036,MDM_PRODUCT
M44DB86LL/A,HK,M44DB86ZP/A,2019-09-23,,Y,2026-04-17 15:11:39.154041,MDM_PRODUCT
M44DB86LL/A,TW,M44DB86FE/A,2019-09-22,,Y,2026-04-17 15:11:39.154045,MDM_PRODUCT
M44DB86LL/A,KR,M44DB86KH/A,2019-09-27,,Y,2026-04-17 15:11:39.154049,MDM_PRODUCT
M44DB86LL/A,IN,M44DB86HN/A,2019-10-13,,Y,2026-04-17 15:11:39.154054,MDM_PRODUCT
M44DB86LL/A,AU,M44DB86X/A,2019-09-22,,Y,2026-04-17 15:11:39.154058,MDM_PRODUCT
M44DB86LL/A,NZ,M44DB86X/A,2019-09-28,,Y,2026-04-17 15:11:39.154062,MDM_PRODUCT
M44DB86LL/A,SG,M44DB86ZA/A,2019-09-21,,Y,2026-04-17 15:11:39.154067,MDM_PRODUCT
M44DB86LL/A,MY,M44DB86D/A,2019-10-04,,Y,2026-04-17 15:11:39.154071,MDM_PRODUCT
M44DB86LL/A,TH,M44DB86TH/A,2019-10-16,,Y,2026-04-17 15:11:39.154075,MDM_PRODUCT
M44DB86LL/A,AE,M44DB86AB/A,2019-10-04,,Y,2026-04-17 15:11:39.154080,MDM_PRODUCT
M44DB86LL/A,SA,M44DB86AB/A,2019-09-29,,Y,2026-04-17 15:11:39.154084,MDM_PRODUCT
M808006LL/A,US,M808006LL/A,2019-09-20,,Y,2026-04-17 15:11:39.154135,MDM_PRODUCT
M808006LL/A,CA,M808006VC/A,2019-09-22,,Y,2026-04-17 15:11:39.154139,MDM_PRODUCT
M808006LL/A,MX,M808006LM/A,2019-09-26,,Y,2026-04-17 15:11:39.154143,MDM_PRODUCT
M808006LL/A,BR,M808006BZ/A,2019-10-04,,Y,2026-04-17 15:11:39.154147,MDM_PRODUCT
M808006LL/A,UK,M808006B/A,2019-09-22,,Y,2026-04-17 15:11:39.154151,MDM_PRODUCT
