family_code,family_name,category_code,launch_year,is_active,lifecycle_status,created_at,source_system
IPH2019,iPhone 2019,IPH,2019,Y,ACTIVE,2026-04-17 15:11:39.153694,PLM_CORE
IPH2020,iPhone 2020,IPH,2020,Y,ACTIVE,2026-04-17 15:11:39.160546,PLM_CORE
IPH2021,iPhone 2021,IPH,2021,Y,ACTIVE,2026-04-17 15:11:39.177350,PLM_CORE
IPH2022,iPhone 2022,IPH,2022,Y,ACTIVE,2026-04-17 15:11:39.187221,PLM_CORE
IPH2023,iPhone 2023,IPH,2023,Y,ACTIVE,2026-04-17 15:11:39.197038,PLM_CORE
IPH2024,iPhone 2024,IPH,2024,Y,ACTIVE,2026-04-17 15:11:39.205897,PLM_CORE
IPD2019,iPad 2019,IPD,2019,Y,ACTIVE,2026-04-17 15:11:39.214946,PLM_CORE
IPD2020,iPad 2020,IPD,2020,Y,ACTIVE,2026-04-17 15:11:39.221258,PLM_CORE
IPD2021,iPad 2021,IPD,2021,Y,ACTIVE,2026-04-17 15:11:39.226530,PLM_CORE
IPD2022,iPad 2022,IPD,2022,Y,ACTIVE,2026-04-17 15:11:39.231586,PLM_CORE
IPD2024,iPad 2024,IPD,2024,Y,ACTIVE,2026-04-17 15:11:39.236696,PLM_CORE
MAC2019,Mac 2019,MAC,2019,Y,ACTIVE,2026-04-17 15:11:39.241712,PLM_CORE
MAC2020,Mac 2020,MAC,2020,Y,ACTIVE,2026-04-17 15:11:39.244207,PLM_CORE
MAC2021,Mac 2021,MAC,2021,Y,ACTIVE,2026-04-17 15:11:39.245689,PLM_CORE
MAC2022,Mac 2022,MAC,2022,Y,ACTIVE,2026-04-17 15:11:39.247148,PLM_CORE
MAC2023,Mac 2023,MAC,2023,Y,ACTIVE,2026-04-17 15:11:39.248618,PLM_CORE
MAC2024,Mac 2024,MAC,2024,Y,ACTIVE,2026-04-17 15:11:39.251640,PLM_CORE
WCH2019,Apple Watch 2019,WCH,2019,Y,ACTIVE,2026-04-17 15:11:39.254516,PLM_CORE
WCH2020,Apple Watch 2020,WCH,2020,Y,ACTIVE,2026-04-17 15:11:39.255145,PLM_CORE
WCH2021,Apple Watch 2021,WCH,2021,Y,ACTIVE,2026-04-17 15:11:39.256660,PLM_CORE
WCH2022,Apple Watch 2022,WCH,2022,Y,ACTIVE,2026-04-17 15:11:39.257325,PLM_CORE
WCH2023,Apple Watch 2023,WCH,2023,Y,ACTIVE,2026-04-17 15:11:39.258866,PLM_CORE
WCH2024,Apple Watch 2024,WCH,2024,Y,ACTIVE,2026-04-17 15:11:39.259653,PLM_CORE
AIR2019,AirPods 2019,AIR,2019,Y,ACTIVE,2026-04-17 15:11:39.260438,PLM_CORE
AIR2020,AirPods 2020,AIR,2020,Y,ACTIVE,2026-04-17 15:11:39.260763,PLM_CORE
AIR2021,AirPods 2021,AIR,2021,Y,ACTIVE,2026-04-17 15:11:39.261540,PLM_CORE
AIR2022,AirPods 2022,AIR,2022,Y,ACTIVE,2026-04-17 15:11:39.261700,PLM_CORE
AIR2023,AirPods 2023,AIR,2023,Y,ACTIVE,2026-04-17 15:11:39.261859,PLM_CORE
AIR2024,AirPods 2024,AIR,2024,Y,ACTIVE,2026-04-17 15:11:39.262016,PLM_CORE
TV2019,Apple TV 2019,TV,2019,Y,ACTIVE,2026-04-17 15:11:39.263115,PLM_CORE
TV2022,Apple TV 2022,TV,2022,Y,ACTIVE,2026-04-17 15:11:39.263587,PLM_CORE
HMP2019,HomePod 2019,HMP,2019,Y,ACTIVE,2026-04-17 15:11:39.263900,PLM_CORE
HMP2020,HomePod 2020,HMP,2020,Y,ACTIVE,2026-04-17 15:11:39.264211,PLM_CORE
HMP2023,HomePod 2023,HMP,2023,Y,ACTIVE,2026-04-17 15:11:39.264836,PLM_CORE
DSP2019,Displays 2019,DSP,2019,Y,ACTIVE,2026-04-17 15:11:39.265154,PLM_CORE
DSP2022,Displays 2022,DSP,2022,Y,ACTIVE,2026-04-17 15:11:39.265468,PLM_CORE
ACC2019,Accessories 2019,ACC,2019,Y,ACTIVE,2026-04-17 15:11:39.265714,PLM_CORE
ACC2020,Accessories 2020,ACC,2020,Y,ACTIVE,2026-04-17 15:11:39.266119,PLM_CORE
ACC2021,Accessories 2021,ACC,2021,Y,ACTIVE,2026-04-17 15:11:39.266438,PLM_CORE
ACC2022,Accessories 2022,ACC,2022,Y,ACTIVE,2026-04-17 15:11:39.266759,PLM_CORE
ACC2023,Accessories 2023,ACC,2023,Y,ACTIVE,2026-04-17 15:11:39.267095,PLM_CORE
ACC2024,Accessories 2024,ACC,2024,Y,ACTIVE,2026-04-17 15:11:39.267431,PLM_CORE
VPR2024,Apple Vision Pro 2024,VPR,2024,Y,ACTIVE,2026-04-17 15:11:39.267762,PLM_CORE
