model_code,model_name,family_code,launch_date,discontinue_date,lifecycle_status,is_active,created_at,source_system
IPH201901,iPhone 11,IPH2019,2019-09-20,,ACTIVE,Y,2026-04-17 15:11:39.153701,PLM_CORE
IPH201902,iPhone 11 Pro,IPH2019,2019-09-20,,ACTIVE,Y,2026-04-17 15:11:39.156482,PLM_CORE
IPH201903,iPhone 11 Pro Max,IPH2019,2019-09-20,,ACTIVE,Y,2026-04-17 15:11:39.158478,PLM_CORE
IPH202001,iPhone 12,IPH2020,2020-10-23,,ACTIVE,Y,2026-04-17 15:11:39.160550,PLM_CORE
IPH202002,iPhone 12 mini,IPH2020,2020-10-23,,ACTIVE,Y,2026-04-17 15:11:39.163391,PLM_CORE
IPH202003,iPhone 12 Pro,IPH2020,2020-10-23,,ACTIVE,Y,2026-04-17 15:11:39.173235,PLM_CORE
IPH202004,iPhone 12 Pro Max,IPH2020,2020-11-13,,ACTIVE,Y,2026-04-17 15:11:39.175240,PLM_CORE
IPH202101,iPhone 13,IPH2021,2021-09-24,,ACTIVE,Y,2026-04-17 15:11:39.177352,PLM_CORE
IPH202102,iPhone 13 mini,IPH2021,2021-09-24,,ACTIVE,Y,2026-04-17 15:11:39.180321,PLM_CORE
IPH202103,iPhone 13 Pro,IPH2021,2021-09-24,,ACTIVE,Y,2026-04-17 15:11:39.183209,PLM_CORE
IPH202104,iPhone 13 Pro Max,IPH2021,2021-09-24,,ACTIVE,Y,2026-04-17 15:11:39.185301,PLM_CORE
IPH202201,iPhone 14,IPH2022,2022-09-16,,ACTIVE,Y,2026-04-17 15:11:39.187223,PLM_CORE
IPH202202,iPhone 14 Plus,IPH2022,2022-10-07,,ACTIVE,Y,2026-04-17 15:11:39.190111,PLM_CORE
IPH202203,iPhone 14 Pro,IPH2022,2022-09-16,,ACTIVE,Y,2026-04-17 15:11:39.193073,PLM_CORE
IPH202204,iPhone 14 Pro Max,IPH2022,2022-09-16,,ACTIVE,Y,2026-04-17 15:11:39.195134,PLM_CORE
IPH202301,iPhone 15,IPH2023,2023-09-22,,ACTIVE,Y,2026-04-17 15:11:39.197040,PLM_CORE
IPH202302,iPhone 15 Plus,IPH2023,2023-09-22,,ACTIVE,Y,2026-04-17 15:11:39.199469,PLM_CORE
IPH202303,iPhone 15 Pro,IPH2023,2023-09-22,,ACTIVE,Y,2026-04-17 15:11:39.201991,PLM_CORE
IPH202304,iPhone 15 Pro Max,IPH2023,2023-09-22,,ACTIVE,Y,2026-04-17 15:11:39.204004,PLM_CORE
IPH202401,iPhone 16,IPH2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.205898,PLM_CORE
IPH202402,iPhone 16 Plus,IPH2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.208381,PLM_CORE
IPH202403,iPhone 16 Pro,IPH2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.210894,PLM_CORE
IPH202404,iPhone 16 Pro Max,IPH2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.212982,PLM_CORE
IPD201901,iPad (7th Generation),IPD2019,2019-09-25,,ACTIVE,Y,2026-04-17 15:11:39.214948,PLM_CORE
IPD201902,iPad mini (5th Generation),IPD2019,2019-03-18,,ACTIVE,Y,2026-04-17 15:11:39.216210,PLM_CORE
IPD201903,iPad Air (3rd Generation),IPD2019,2019-03-18,,ACTIVE,Y,2026-04-17 15:11:39.217461,PLM_CORE
IPD201904,"iPad Pro 11"" (1st Generation)",IPD2019,2019-03-18,,ACTIVE,Y,2026-04-17 15:11:39.218719,PLM_CORE
IPD201905,"iPad Pro 12.9"" (3rd Generation)",IPD2019,2019-03-18,,ACTIVE,Y,2026-04-17 15:11:39.219992,PLM_CORE
IPD202001,iPad (8th Generation),IPD2020,2020-09-18,,ACTIVE,Y,2026-04-17 15:11:39.221260,PLM_CORE
IPD202002,iPad Air (4th Generation),IPD2020,2020-10-23,,ACTIVE,Y,2026-04-17 15:11:39.222560,PLM_CORE
IPD202003,"iPad Pro 11"" (2nd Generation)",IPD2020,2020-03-25,,ACTIVE,Y,2026-04-17 15:11:39.223926,PLM_CORE
IPD202004,"iPad Pro 12.9"" (4th Generation)",IPD2020,2020-03-25,,ACTIVE,Y,2026-04-17 15:11:39.225227,PLM_CORE
IPD202101,iPad (9th Generation),IPD2021,2021-09-24,,ACTIVE,Y,2026-04-17 15:11:39.226532,PLM_CORE
IPD202102,iPad mini (6th Generation),IPD2021,2021-09-24,,ACTIVE,Y,2026-04-17 15:11:39.227811,PLM_CORE
IPD202103,"iPad Pro 11"" M1",IPD2021,2021-04-30,,ACTIVE,Y,2026-04-17 15:11:39.229079,PLM_CORE
IPD202104,"iPad Pro 12.9"" M1",IPD2021,2021-04-30,,ACTIVE,Y,2026-04-17 15:11:39.230337,PLM_CORE
IPD202201,iPad (10th Generation),IPD2022,2022-10-26,,ACTIVE,Y,2026-04-17 15:11:39.231588,PLM_CORE
IPD202202,iPad Air (5th Generation) M1,IPD2022,2022-03-18,,ACTIVE,Y,2026-04-17 15:11:39.232863,PLM_CORE
IPD202203,"iPad Pro 11"" M2",IPD2022,2022-10-26,,ACTIVE,Y,2026-04-17 15:11:39.234171,PLM_CORE
IPD202204,"iPad Pro 12.9"" M2",IPD2022,2022-10-26,,ACTIVE,Y,2026-04-17 15:11:39.235435,PLM_CORE
IPD202401,iPad mini (7th Generation),IPD2024,2024-10-23,,ACTIVE,Y,2026-04-17 15:11:39.236697,PLM_CORE
IPD202402,"iPad Air 13"" M2",IPD2024,2024-03-08,,ACTIVE,Y,2026-04-17 15:11:39.237948,PLM_CORE
IPD202403,"iPad Pro 11"" M4",IPD2024,2024-05-15,,ACTIVE,Y,2026-04-17 15:11:39.239206,PLM_CORE
IPD202404,"iPad Pro 13"" M4",IPD2024,2024-05-15,,ACTIVE,Y,2026-04-17 15:11:39.240447,PLM_CORE
MAC201901,MacBook Air (2019),MAC2019,2019-03-19,,ACTIVE,Y,2026-04-17 15:11:39.241713,PLM_CORE
MAC201902,"MacBook Pro 13"" (2019)",MAC2019,2019-07-09,,ACTIVE,Y,2026-04-17 15:11:39.242242,PLM_CORE
MAC201903,"MacBook Pro 16"" (2019)",MAC2019,2019-11-13,,ACTIVE,Y,2026-04-17 15:11:39.242716,PLM_CORE
MAC201904,Mac Pro (2019),MAC2019,2019-12-10,,ACTIVE,Y,2026-04-17 15:11:39.243206,PLM_CORE
MAC201905,"iMac 27"" (2019)",MAC2019,2019-03-19,,ACTIVE,Y,2026-04-17 15:11:39.243725,PLM_CORE
MAC202001,MacBook Air M1,MAC2020,2020-11-17,,ACTIVE,Y,2026-04-17 15:11:39.244209,PLM_CORE
MAC202002,"MacBook Pro 13"" M1",MAC2020,2020-11-17,,ACTIVE,Y,2026-04-17 15:11:39.244697,PLM_CORE
MAC202003,Mac mini M1,MAC2020,2020-11-17,,ACTIVE,Y,2026-04-17 15:11:39.245186,PLM_CORE
MAC202101,"iMac 24"" M1",MAC2021,2021-05-21,,ACTIVE,Y,2026-04-17 15:11:39.245690,PLM_CORE
MAC202102,"MacBook Pro 14"" M1 Pro",MAC2021,2021-10-26,,ACTIVE,Y,2026-04-17 15:11:39.246168,PLM_CORE
MAC202103,"MacBook Pro 16"" M1 Pro",MAC2021,2021-10-26,,ACTIVE,Y,2026-04-17 15:11:39.246665,PLM_CORE
MAC202201,"MacBook Air 13"" M2",MAC2022,2022-06-24,,ACTIVE,Y,2026-04-17 15:11:39.247149,PLM_CORE
MAC202202,"MacBook Pro 13"" M2",MAC2022,2022-06-24,,ACTIVE,Y,2026-04-17 15:11:39.247638,PLM_CORE
MAC202203,Mac Studio M1 Ultra,MAC2022,2022-03-18,,ACTIVE,Y,2026-04-17 15:11:39.248128,PLM_CORE
MAC202301,Mac mini M2,MAC2023,2023-01-24,,ACTIVE,Y,2026-04-17 15:11:39.248621,PLM_CORE
MAC202302,Mac Pro M2 Ultra,MAC2023,2023-06-13,,ACTIVE,Y,2026-04-17 15:11:39.249115,PLM_CORE
MAC202303,Mac Studio M2 Ultra,MAC2023,2023-06-13,,ACTIVE,Y,2026-04-17 15:11:39.249731,PLM_CORE
MAC202304,"MacBook Pro 14"" M3",MAC2023,2023-11-07,,ACTIVE,Y,2026-04-17 15:11:39.250206,PLM_CORE
MAC202305,"MacBook Pro 16"" M3",MAC2023,2023-11-07,,ACTIVE,Y,2026-04-17 15:11:39.250674,PLM_CORE
MAC202306,"iMac 24"" M3",MAC2023,2023-11-07,,ACTIVE,Y,2026-04-17 15:11:39.251172,PLM_CORE
MAC202401,"MacBook Air 13"" M3",MAC2024,2024-03-08,,ACTIVE,Y,2026-04-17 15:11:39.251642,PLM_CORE
MAC202402,"MacBook Air 15"" M3",MAC2024,2024-03-08,,ACTIVE,Y,2026-04-17 15:11:39.252154,PLM_CORE
MAC202403,Mac mini M4,MAC2024,2024-11-08,,ACTIVE,Y,2026-04-17 15:11:39.252629,PLM_CORE
MAC202404,"iMac 24"" M4",MAC2024,2024-11-08,,ACTIVE,Y,2026-04-17 15:11:39.253092,PLM_CORE
MAC202405,"MacBook Pro 14"" M4",MAC2024,2024-11-08,,ACTIVE,Y,2026-04-17 15:11:39.253570,PLM_CORE
MAC202406,"MacBook Pro 16"" M4",MAC2024,2024-11-08,,ACTIVE,Y,2026-04-17 15:11:39.254040,PLM_CORE
WCH201901,Apple Watch Series 5,WCH2019,2019-09-20,,ACTIVE,Y,2026-04-17 15:11:39.254517,PLM_CORE
WCH202001,Apple Watch Series 6,WCH2020,2020-09-18,,ACTIVE,Y,2026-04-17 15:11:39.255146,PLM_CORE
WCH202002,Apple Watch SE (1st Generation),WCH2020,2020-09-18,,ACTIVE,Y,2026-04-17 15:11:39.255976,PLM_CORE
WCH202101,Apple Watch Series 7,WCH2021,2021-10-15,,ACTIVE,Y,2026-04-17 15:11:39.256662,PLM_CORE
WCH202201,Apple Watch Series 8,WCH2022,2022-09-16,,ACTIVE,Y,2026-04-17 15:11:39.257327,PLM_CORE
WCH202202,Apple Watch SE (2nd Generation),WCH2022,2022-09-16,,ACTIVE,Y,2026-04-17 15:11:39.257984,PLM_CORE
WCH202203,Apple Watch Ultra,WCH2022,2022-09-16,,ACTIVE,Y,2026-04-17 15:11:39.258682,PLM_CORE
WCH202301,Apple Watch Series 9,WCH2023,2023-09-22,,ACTIVE,Y,2026-04-17 15:11:39.258867,PLM_CORE
WCH202302,Apple Watch Ultra 2,WCH2023,2023-09-22,,ACTIVE,Y,2026-04-17 15:11:39.259495,PLM_CORE
WCH202401,Apple Watch Series 10,WCH2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.259654,PLM_CORE
WCH202402,Apple Watch Ultra 2,WCH2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.260277,PLM_CORE
AIR201901,AirPods (2nd Generation),AIR2019,2019-03-20,,ACTIVE,Y,2026-04-17 15:11:39.260440,PLM_CORE
AIR201902,AirPods Pro (1st Generation),AIR2019,2019-10-30,,ACTIVE,Y,2026-04-17 15:11:39.260601,PLM_CORE
AIR202001,AirPods Max (1st Generation),AIR2020,2020-12-11,,ACTIVE,Y,2026-04-17 15:11:39.260764,PLM_CORE
AIR202101,AirPods (3rd Generation),AIR2021,2021-10-26,,ACTIVE,Y,2026-04-17 15:11:39.261541,PLM_CORE
AIR202201,AirPods Pro (2nd Generation),AIR2022,2022-09-23,,ACTIVE,Y,2026-04-17 15:11:39.261701,PLM_CORE
AIR202301,AirPods (2nd Generation) USB-C,AIR2023,2023-09-22,,ACTIVE,Y,2026-04-17 15:11:39.261860,PLM_CORE
AIR202401,AirPods 4,AIR2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.262017,PLM_CORE
AIR202402,AirPods Pro (3rd Generation),AIR2024,2024-09-20,,ACTIVE,Y,2026-04-17 15:11:39.262174,PLM_CORE
