sku_code,model_code,variant,price_tier,global_launch_date,is_active,created_at,source_system
M44DB86LL/A,IPH201901,128GB / Black,Premium,2019-09-20,Y,2026-04-17 15:11:39.153730,ERP_SKU
M808006LL/A,IPH201901,128GB / White,Premium,2019-09-20,Y,2026-04-17 15:11:39.153734,ERP_SKU
MED578CLL/A,IPH201901,128GB / Yellow,Premium,2019-09-20,Y,2026-04-17 15:11:39.153736,ERP_SKU
M131BF6LL/A,IPH201901,128GB / Purple,Premium,2019-09-20,Y,2026-04-17 15:11:39.153738,ERP_SKU
MDA4855LL/A,IPH201901,128GB / Red,Premium,2019-09-20,Y,2026-04-17 15:11:39.153739,ERP_SKU
M4D01C5LL/A,IPH201901,256GB / Black,Premium,2019-09-20,Y,2026-04-17 15:11:39.153741,ERP_SKU
MB42970LL/A,IPH201901,256GB / White,Premium,2019-09-20,Y,2026-04-17 15:11:39.153742,ERP_SKU
M26A46FLL/A,IPH201901,256GB / Yellow,Premium,2019-09-20,Y,2026-04-17 15:11:39.153744,ERP_SKU
M2A0E05LL/A,IPH201901,256GB / Purple,Premium,2019-09-20,Y,2026-04-17 15:11:39.153745,ERP_SKU
M4332F3LL/A,IPH201901,256GB / Red,Premium,2019-09-20,Y,2026-04-17 15:11:39.153746,ERP_SKU
M001381LL/A,IPH201901,512GB / Black,Premium,2019-09-20,Y,2026-04-17 15:11:39.153748,ERP_SKU
M71ADD3LL/A,IPH201901,512GB / White,Premium,2019-09-20,Y,2026-04-17 15:11:39.153749,ERP_SKU
M6017DDLL/A,IPH201901,512GB / Yellow,Premium,2019-09-20,Y,2026-04-17 15:11:39.153750,ERP_SKU
MBE751DLL/A,IPH201901,512GB / Purple,Premium,2019-09-20,Y,2026-04-17 15:11:39.153752,ERP_SKU
MB2C729LL/A,IPH201901,512GB / Red,Premium,2019-09-20,Y,2026-04-17 15:11:39.153753,ERP_SKU
M953EA1LL/A,IPH201902,256GB / Space Gray,Ultra,2019-09-20,Y,2026-04-17 15:11:39.156489,ERP_SKU
