transaction_line_id,transaction_sk,line_number,sku_code,category_code,quantity,unit_price,discount_amount,tax_amount,line_total,created_at
LINE-D1394B1437E846,ba2958ba-ed55-4184-9d07-d759ac69e4f5,1,MDC7A95LL/A,ACC,1,39.55,0.0,9.89,49.44,2025-02-26 15:19:16
LINE-512FC97202D840,281e250f-87aa-4395-93f8-79060448bdbf,1,M971E78LL/A,IPH,1,867.05,0.0,216.76,1083.81,2025-03-09 15:47:00
LINE-1D1898F43D6E4C,81324369-3fcc-460f-857a-60e72ff782c0,1,MB0701ELL/A,TV,1,194.97,0.0,48.74,243.71,2025-05-30 09:17:11
LINE-6201007254F145,d4d0e7f3-99e0-4f30-a0cc-6836429ab2d2,1,M046C1DLL/A,IPH,1,1023.89,0.0,255.97,1279.86,2025-10-25 18:19:46
LINE-2307B7AE8C3749,ec00bb7f-e896-464d-9f04-83a3a4d26878,1,M7A5CADLL/A,AIR,1,139.04,0.0,34.76,173.8,2025-03-01 12:22:30
LINE-F1D7DCBC6AF64D,cf4a24ad-7a52-4026-bcd5-1baf02a63e30,1,M96E535LL/A,IPH,1,1497.31,74.87,355.61,1778.05,2025-07-19 17:28:04
LINE-CF1C823FE07148,5d00b85a-eee4-4e8e-b13e-3e3cb42ef969,1,MDAD2D8LL/A,IPH,1,820.26,41.01,194.81,974.06,2025-11-20 13:34:04
LINE-C822CB9391874B,d4f5f721-ffb8-4706-89a9-013bf2620212,1,M564811LL/A,ACC,2,55.42,5.54,26.32,131.62,2025-10-16 14:45:19
LINE-CCC6CC391BCE4A,50de1afe-5774-4d3d-83fd-013b784fbfcd,1,M456FEBLL/A,ACC,2,79.06,15.81,35.58,177.89,2025-04-10 17:39:10
LINE-1D1C94FE962B47,8a3196cd-1390-46a6-9fb9-a544aa6ec133,1,M469693LL/A,ACC,1,46.38,0.0,11.6,57.98,2025-02-12 17:18:48
LINE-C2240A30E66647,8fdd4160-7be7-4428-925b-54aa355b3768,1,M564811LL/A,ACC,1,115.86,0.0,28.96,144.82,2025-05-07 14:51:40
LINE-D42D691F6B3A4B,b86e93b1-3a6d-4e30-aafd-3f0654765622,1,M6017DDLL/A,IPH,1,1205.96,0.0,301.49,1507.45,2025-01-05 19:20:34
LINE-0FEB2505B48B4B,11f2eac2-f179-46c0-9a00-631677e32c0e,1,M088F14LL/A,TV,1,156.8,7.84,37.24,186.2,2025-01-21 22:50:40
LINE-737C8076546A42,dd02a1da-489d-4c1e-8a37-dcb657ffd9c2,1,M62D832LL/A,IPH,1,803.2,80.32,180.72,903.6,2025-07-23 12:43:35
LINE-7D6758CB34A64A,bdc5f771-03bb-4d03-89f4-3e33b93fcfca,1,M455202LL/A,ACC,1,73.27,0.0,18.32,91.59,2025-08-04 09:58:37
LINE-3A71F3022FD742,65e8e19d-029d-4c07-bf24-d52d62b789b6,1,MABE30DLL/A,IPH,1,809.15,0.0,202.29,1011.44,2025-09-10 15:24:58
LINE-E45634EEBB1544,3e7a10d2-0c16-4746-b86a-76e910986b4b,1,M51FB91LL/A,HMP,1,441.32,0.0,110.33,551.65,2025-04-25 13:12:27
LINE-21826B9759D445,8cd376ce-6c8c-4c9c-8c13-84c1598571d8,1,MB0701ELL/A,TV,1,148.92,14.89,33.51,167.54,2025-10-19 09:17:23
LINE-C667CD33F7A045,f77ca75d-14af-41fb-99c1-97338e660989,1,M5FD317LL/A,IPH,1,1223.95,0.0,305.99,1529.94,2025-02-20 08:40:36
LINE-5A621F8E1BF84D,3ffda0a1-8f22-4d4d-9bd5-90f8b8b4bcf3,1,M4D01C5LL/A,IPH,1,1551.46,77.57,368.47,1842.36,2025-10-28 05:47:57
LINE-D112AD3AF92A4F,1da4d07a-f4f6-43b9-8625-9fb0c1f45719,1,MD4ACF1LL/A,IPH,1,859.95,86.0,193.49,967.44,2025-06-17 09:25:38
LINE-8CEB1BCA45CC4F,5080b784-7139-4c7d-a9b5-16d4c8a08f44,1,MB0701ELL/A,TV,1,179.21,0.0,44.8,224.01,2025-04-19 01:55:52
LINE-9B12AB0A6C2245,c7f82a3d-396b-476e-a2f9-111f8313a172,1,MDA65CBLL/A,IPH,1,1249.04,0.0,312.26,1561.3,2025-01-12 13:02:15
LINE-2836744FA85A4E,10225899-d1f9-482b-a404-97144f7b530d,1,M7A5CADLL/A,AIR,1,171.88,0.0,42.97,214.85,2025-11-29 05:15:35
LINE-A1E41B8E844742,353d8bf9-7490-4347-8242-1ca845abf8bb,1,MC584CALL/A,AIR,1,139.7,0.0,34.92,174.62,2025-10-03 19:43:14
LINE-58ED726DB39A42,eab1fa0a-ddd6-4828-8b37-b23f839a71b9,1,M985889LL/A,IPH,1,1127.83,112.78,253.76,1268.81,2025-06-11 12:33:13
LINE-21E9234C87194E,435b44b4-7542-4ab5-bc27-0d1ce4940ace,1,MB5931FLL/A,AIR,1,130.09,6.5,30.9,154.49,2025-01-18 12:36:44
LINE-3DDC544871304E,fbafa0b7-2c49-413c-b8ae-65f97ad77d05,1,MFC8E3ELL/A,AIR,2,132.59,0.0,66.3,331.48,2025-05-30 10:54:01
LINE-803D98A6219747,bcef2e92-f166-4c3f-aac0-81deaa76a002,1,M05C22ELL/A,IPH,1,1329.5,66.48,315.75,1578.77,2025-06-06 15:39:18
LINE-D818650FAFBE47,167a2e61-5f1e-4179-9dc6-1153b615c49c,1,M107055LL/A,AIR,2,203.71,0.0,101.86,509.28,2025-05-11 16:50:10
LINE-F557DDB95C5B4F,16accbfb-0e90-467f-b69c-584351e67f31,1,M10ABA4LL/A,AIR,1,154.38,15.44,34.73,173.67,2025-08-30 11:35:21
LINE-DDDBB7AECF2647,5ad13df0-cf0e-4145-9b20-567cc3063592,1,MB5931FLL/A,AIR,2,181.77,0.0,90.89,454.43,2025-04-06 18:16:27
LINE-FB6CDCDEBC9F49,7c479faf-0a0a-4c46-b788-d398e2c48c07,1,M4BF5EBLL/A,IPH,1,997.02,0.0,249.25,1246.27,2025-01-05 12:57:37
