store_code,store_name,country_code,region_code,tax_jurisdiction_code,format_code,city,state_code,postal_code,address_line1,latitude,longitude,store_open_date,store_close_date,lifecycle_status,floor_area_sqft,annual_rent_usd,is_active,effective_start_date,effective_end_date,created_at,source_system
US_0001,Apple Bradleyton,US,AMER,US_VA_STD,MINI,Bradleyton,VA,77677,83405 Anderson Glens Suite 554,42.839799,-84.299787,2017-09-01,,ACTIVE,21818,11876966,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.368769,RETAIL_OPS
US_0002,Apple Hunttown,US,AMER,US_MO_STD,FLG,Hunttown,MO,08759,20653 Nguyen Summit Suite 103,28.454519,-109.838435,2019-06-04,,ACTIVE,5517,18512133,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.369503,RETAIL_OPS
US_0003,Apple Robinsonville,US,AMER,US_CT_STD,MINI,Robinsonville,CT,61211,3038 Mooney Mountain Apt. 211,31.100593,-80.263677,2016-10-12,,ACTIVE,18363,12083170,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.370237,RETAIL_OPS
US_0004,Apple Dianaberg,US,AMER,US_ND_STD,FLG,Dianaberg,ND,02166,993 Emily Trail Apt. 004,28.731634,-75.886758,2016-06-22,,ACTIVE,13483,10907543,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.370932,RETAIL_OPS
US_0005,Apple North Alejandramouth,US,AMER,US_ND_STD,FLG,North Alejandramouth,ND,13344,687 Williams Meadows Apt. 946,31.716178,-123.744726,2019-09-01,,ACTIVE,9157,8495247,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.371671,RETAIL_OPS
US_0006,Apple North Davidton,US,AMER,US_NV_STD,FLG,North Davidton,NV,33083,93467 Espinoza Streets,42.004382,-102.761174,2025-06-30,,ACTIVE,17723,14464188,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.372351,RETAIL_OPS
US_0007,Apple Lake Jeffreyfurt,US,AMER,US_AR_STD,MINI,Lake Jeffreyfurt,AR,46325,644 Smith Circles,42.005174,-94.244458,2019-09-30,,ACTIVE,10774,7815064,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.373092,RETAIL_OPS
US_0008,Apple East Erin,US,AMER,US_FL_STD,MINI,East Erin,FL,16965,419 Michele Crossing Suite 123,33.601337,-94.926101,2021-01-22,,ACTIVE,18241,12503436,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.373793,RETAIL_OPS
US_0009,Apple Serranoton,US,AMER,US_UT_STD,FLG,Serranoton,UT,13234,3975 Johnson Unions Suite 397,35.653911,-94.414543,2022-09-13,,ACTIVE,22538,13252140,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.374520,RETAIL_OPS
US_0010,Apple West Matthew,US,AMER,US_WV_STD,FLG,West Matthew,WV,22404,471 Mathis Fords,47.240183,-110.448964,2019-01-25,,ACTIVE,19449,14299894,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.375188,RETAIL_OPS
US_0011,Apple Woodton,US,AMER,US_SD_STD,MALL,Woodton,SD,53422,56165 Matthew Camp,30.768597,-119.13519,2021-08-13,,ACTIVE,11675,1890556,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.375884,RETAIL_OPS
US_0012,Apple Tanyamouth,US,AMER,US_FL_STD,MALL,Tanyamouth,FL,82138,8494 Elizabeth Via,48.368377,-94.347516,2020-10-13,,ACTIVE,12139,12660225,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.376548,RETAIL_OPS
US_0013,Apple Lake Jesse,US,AMER,US_NV_STD,MALL,Lake Jesse,NV,59748,0146 Anne Views,27.000173,-74.301731,2022-10-20,,ACTIVE,19011,2976710,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.377359,RETAIL_OPS
US_0014,Apple Mcphersonside,US,AMER,US_KY_STD,MALL,Mcphersonside,KY,33452,80735 Lindsey Burgs Suite 243,32.92683,-102.876038,2024-04-04,,ACTIVE,8589,9721953,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.378126,RETAIL_OPS
US_0015,Apple Jesseport,US,AMER,US_ND_STD,MINI,Jesseport,ND,60898,514 Wright Walk,36.640807,-96.539963,2021-05-09,,ACTIVE,12320,2070746,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.378912,RETAIL_OPS
US_0016,Apple Nathanmouth,US,AMER,US_OR_STD,FLG,Nathanmouth,OR,34111,673 Michael Island Suite 669,33.084902,-92.899927,2021-07-12,,ACTIVE,7071,5542910,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.379579,RETAIL_OPS
US_0017,Apple Jennifershire,US,AMER,US_MN_STD,FLG,Jennifershire,MN,57683,21136 David Pines Apt. 196,38.707019,-111.098091,2017-03-14,,ACTIVE,16001,11747922,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.380282,RETAIL_OPS
US_0018,Apple Blakeland,US,AMER,US_FL_STD,MALL,Blakeland,FL,66157,9549 Adam Plains,44.577878,-112.130597,2018-03-09,,ACTIVE,16614,13129531,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.380932,RETAIL_OPS
US_0019,Apple Martinezburgh,US,AMER,US_FL_STD,MALL,Martinezburgh,FL,57723,98107 Angela Manor Suite 538,28.129446,-91.840267,2016-12-03,,ACTIVE,24570,16302573,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.381605,RETAIL_OPS
US_0020,Apple North Michaelland,US,AMER,US_AK_STD,FLG,North Michaelland,AK,88721,16034 Andres Bypass,31.40311,-93.735877,2026-02-16,,ACTIVE,10990,7275082,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.382306,RETAIL_OPS
US_0021,Apple North Alexandraland,US,AMER,US_OH_STD,FLG,North Alexandraland,OH,93088,80021 Elizabeth Union,45.781736,-85.327949,2022-07-28,,ACTIVE,14734,13987069,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.382963,RETAIL_OPS
US_0022,Apple Reynoldstown,US,AMER,US_WY_STD,MINI,Reynoldstown,WY,67507,39313 Brown Oval,44.097258,-83.29047,2016-11-14,,ACTIVE,21347,10420049,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.384287,RETAIL_OPS
US_0023,Apple West Howardport,US,AMER,US_SC_STD,FLG,West Howardport,SC,61225,51496 Shelby Village,27.420231,-70.833717,2018-06-12,,ACTIVE,8665,2686146,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.384997,RETAIL_OPS
US_0024,Apple East Alexview,US,AMER,US_IA_STD,FLG,East Alexview,IA,26696,996 Phelps Centers Apt. 000,43.867567,-103.019182,2023-06-15,,ACTIVE,5522,16389374,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.385709,RETAIL_OPS
US_0025,Apple North Jesse,US,AMER,US_IN_STD,FLG,North Jesse,IN,33623,21751 Brown Park,32.441428,-117.814292,2021-08-10,,ACTIVE,8457,12664009,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.386389,RETAIL_OPS
US_0026,Apple New Jenniferton,US,AMER,US_VA_STD,FLG,New Jenniferton,VA,48106,1818 Moore Wells,40.291814,-84.415925,2020-05-29,,ACTIVE,16780,2528838,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.387100,RETAIL_OPS
US_0027,Apple North Bobmouth,US,AMER,US_WY_STD,MINI,North Bobmouth,WY,76174,82741 Kelli Rest Apt. 460,36.78583,-107.918869,2016-12-08,,ACTIVE,16540,8898430,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.387783,RETAIL_OPS
US_0028,Apple East Amber,US,AMER,US_MI_STD,FLG,East Amber,MI,53392,7041 Erik Vista,46.250398,-101.166991,2016-04-29,,ACTIVE,18990,10129478,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.388466,RETAIL_OPS
US_0029,Apple West Jamesmouth,US,AMER,US_MI_STD,FLG,West Jamesmouth,MI,90522,89231 Dana Drives Suite 713,26.295087,-103.644713,2024-12-21,,ACTIVE,7257,8840576,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.389134,RETAIL_OPS
US_0030,Apple Donaldbury,US,AMER,US_ID_STD,MALL,Donaldbury,ID,62147,27766 Vincent Shoal,25.239025,-109.720496,2023-12-21,,ACTIVE,9816,11904212,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.389881,RETAIL_OPS
US_0031,Apple Port Shannonstad,US,AMER,US_IN_STD,MINI,Port Shannonstad,IN,79510,76276 Pearson Mission,28.271827,-122.061612,2019-03-28,,ACTIVE,10593,16743948,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.390621,RETAIL_OPS
US_0032,Apple East Jennifer,US,AMER,US_IN_STD,MALL,East Jennifer,IN,71590,04528 Fisher Stream Apt. 865,29.944036,-86.284092,2017-06-14,,ACTIVE,7373,5339033,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.391360,RETAIL_OPS
US_0033,Apple Lake Brent,US,AMER,US_CT_STD,FLG,Lake Brent,CT,03988,195 Christopher Mall,31.738236,-83.346797,2017-05-19,,ACTIVE,23051,16394276,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.392038,RETAIL_OPS
US_0034,Apple Lake Robertmouth,US,AMER,US_MA_STD,MINI,Lake Robertmouth,MA,43250,66383 Cohen Fork Suite 483,48.335843,-78.593691,2018-03-07,,ACTIVE,22920,17852096,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.392757,RETAIL_OPS
US_0035,Apple Villegasport,US,AMER,US_NC_STD,MINI,Villegasport,NC,60977,5525 Lawrence Common Apt. 354,43.80492,-124.470465,2026-03-15,,ACTIVE,13051,4604317,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.393494,RETAIL_OPS
US_0036,Apple Munozside,US,AMER,US_OR_STD,FLG,Munozside,OR,47480,82302 Jordan Mountain,31.347854,-93.452984,2021-06-06,,ACTIVE,7010,13317081,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.394216,RETAIL_OPS
US_0037,Apple Hugheschester,US,AMER,US_SC_STD,MINI,Hugheschester,SC,70221,2355 Tammy Stream Apt. 625,38.373947,-76.998008,2019-01-06,,ACTIVE,10273,13039890,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.394909,RETAIL_OPS
US_0038,Apple New Katherine,US,AMER,US_OH_STD,MALL,New Katherine,OH,80810,419 Williams Street Suite 976,25.165871,-121.793149,2021-03-24,,ACTIVE,11167,15540953,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.395616,RETAIL_OPS
US_0039,Apple Ayalachester,US,AMER,US_AR_STD,MALL,Ayalachester,AR,44354,165 Donna Square,27.1177,-93.708697,2022-06-09,,ACTIVE,18917,14274705,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.396297,RETAIL_OPS
US_0040,Apple Paynetown,US,AMER,US_DE_STD,MALL,Paynetown,DE,43951,575 Miller Junction,30.674527,-87.31223,2022-03-31,,ACTIVE,7241,4234004,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.397021,RETAIL_OPS
US_0041,Apple North Vanessa,US,AMER,US_TN_STD,FLG,North Vanessa,TN,61738,2760 Johnston Bypass,47.406995,-91.275897,2019-12-26,,ACTIVE,19004,16582399,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.397706,RETAIL_OPS
US_0042,Apple New Tabithafort,US,AMER,US_NM_STD,MALL,New Tabithafort,NM,14280,0698 Cunningham Tunnel Apt. 124,35.466618,-104.332296,2025-08-06,,ACTIVE,14099,15808414,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.398490,RETAIL_OPS
US_0043,Apple East Aprilberg,US,AMER,US_NC_STD,FLG,East Aprilberg,NC,84899,04795 Calvin Circle Apt. 324,41.968777,-123.839904,2024-11-25,,ACTIVE,20741,8495450,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.399198,RETAIL_OPS
US_0044,Apple Carrfort,US,AMER,US_MT_STD,MALL,Carrfort,MT,23278,293 Berry Port,47.192719,-105.311272,2018-01-27,,ACTIVE,11379,13475999,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.399944,RETAIL_OPS
US_0045,Apple Kelseyfort,US,AMER,US_WY_STD,MALL,Kelseyfort,WY,65906,901 Parker Ways Suite 547,27.18418,-68.325152,2024-11-25,,ACTIVE,6741,5614843,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.400625,RETAIL_OPS
US_0046,Apple Lake Ryanport,US,AMER,US_MN_STD,MALL,Lake Ryanport,MN,18463,50628 Jose Passage Apt. 200,27.929117,-87.08522,2022-07-27,,ACTIVE,19584,15513956,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.401621,RETAIL_OPS
US_0047,Apple Leonfurt,US,AMER,US_HI_STD,FLG,Leonfurt,HI,90364,2640 Morris Squares Apt. 136,36.000888,-86.740223,2021-11-27,,ACTIVE,16578,7343933,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.402314,RETAIL_OPS
US_0048,Apple Joneston,US,AMER,US_TN_STD,MALL,Joneston,TN,72105,85005 Andrea Alley,42.367309,-88.342061,2016-12-08,,ACTIVE,11196,12767855,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.402993,RETAIL_OPS
US_0049,Apple Aprilland,US,AMER,US_KY_STD,MINI,Aprilland,KY,13004,53461 Horton Cove Suite 029,39.259809,-86.137411,2018-08-13,,ACTIVE,21494,8713945,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.403703,RETAIL_OPS
US_0050,Apple Port Emily,US,AMER,US_NV_STD,FLG,Port Emily,NV,92020,71228 Sheena Ports Suite 631,34.597184,-117.980399,2023-07-03,,ACTIVE,15619,13684070,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.404356,RETAIL_OPS
CN_0001,Apple 晨市,CN,GREATER_CHINA,CN_42_STD,MINI,晨市,42,259283,邯郸路K座,32.331995,117.957155,2017-05-04,,ACTIVE,13868,19405046,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.405004,RETAIL_OPS
CN_0002,Apple 合山县,CN,GREATER_CHINA,CN_33_STD,MINI,合山县,33,237802,东莞路v座,31.177983,105.660944,2018-10-09,,ACTIVE,22884,16759859,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.405601,RETAIL_OPS
CN_0003,Apple 郑州市,CN,GREATER_CHINA,CN_42_STD,MINI,郑州市,42,387235,邱街I座,28.024252,121.28639,2019-11-26,,ACTIVE,21759,18965997,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.406259,RETAIL_OPS
CN_0004,Apple 宜都市,CN,GREATER_CHINA,CN_50_STD,MALL,宜都市,50,524652,蔡街O座,39.21365,120.190169,2021-12-13,,ACTIVE,12418,2056513,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.406889,RETAIL_OPS
CN_0005,Apple 关岭县,CN,GREATER_CHINA,CN_51_STD,MALL,关岭县,51,895213,杨街l座,38.530573,104.847568,2019-06-29,,ACTIVE,12789,16839480,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.407544,RETAIL_OPS
CN_0006,Apple 福州市,CN,GREATER_CHINA,CN_33_STD,MINI,福州市,33,395210,刘路S座,26.404278,114.697332,2025-06-10,,ACTIVE,21804,919591,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.408158,RETAIL_OPS
CN_0007,Apple 金凤市,CN,GREATER_CHINA,CN_50_STD,MINI,金凤市,50,835767,哈尔滨街Y座,24.407915,120.581367,2025-03-18,,ACTIVE,18829,12698132,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.408784,RETAIL_OPS
CN_0008,Apple 太原县,CN,GREATER_CHINA,CN_32_STD,MINI,太原县,32,283241,杭州街p座,23.837687,113.226674,2016-05-30,,ACTIVE,19631,13011651,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.409379,RETAIL_OPS
CN_0009,Apple 军县,CN,GREATER_CHINA,CN_33_STD,MALL,军县,33,298418,敖街s座,36.95375,116.058947,2017-08-23,,ACTIVE,16986,5993940,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.410028,RETAIL_OPS
CN_0010,Apple 秀珍县,CN,GREATER_CHINA,CN_11_STD,FLG,秀珍县,11,767641,吴街R座,41.570256,118.313487,2026-03-17,,ACTIVE,16082,9038672,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.410656,RETAIL_OPS
UK_0001,Apple Barrymouth,UK,EMEA,UK_STD,FLG,Barrymouth,,B5B 0ZQ,562 Blake loop,50.056716,0.121034,2025-01-04,,ACTIVE,15951,13698850,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.411373,RETAIL_OPS
UK_0002,Apple New Carolbury,UK,EMEA,UK_STD,MINI,New Carolbury,,E8K 7RS,1 Elliott brook,54.820653,-4.72707,2023-12-09,,ACTIVE,22029,10480613,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.412025,RETAIL_OPS
UK_0003,Apple Johnside,UK,EMEA,UK_STD,MINI,Johnside,,LA5X 4AY,"Studio 41Y
Louis field",57.016853,0.190487,2025-09-22,,ACTIVE,5630,4980017,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.412893,RETAIL_OPS
UK_0004,Apple Charleneside,UK,EMEA,UK_STD,MALL,Charleneside,,G23 9JH,"Flat 75a
Sullivan via",56.340259,-4.642226,2022-08-14,,ACTIVE,24398,11616739,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.413572,RETAIL_OPS
UK_0005,Apple South Iaintown,UK,EMEA,UK_STD,MALL,South Iaintown,,NR09 1HT,82 Abigail well,52.416821,-4.66478,2016-06-18,,ACTIVE,23229,11384610,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.414211,RETAIL_OPS
UK_0006,Apple Port Carolynbury,UK,EMEA,UK_STD,MINI,Port Carolynbury,,B03 4PP,"Flat 87
Stone junctions",51.546042,-0.301595,2019-10-15,,ACTIVE,18127,16138599,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.414849,RETAIL_OPS
UK_0007,Apple South Jodiefurt,UK,EMEA,UK_STD,MINI,South Jodiefurt,,L7T 6RG,"Flat 24t
Watkins meadows",56.070008,1.258439,2019-03-31,,ACTIVE,9586,11359792,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.415511,RETAIL_OPS
UK_0008,Apple South Harriet,UK,EMEA,UK_STD,MINI,South Harriet,,TD3B 7NQ,"Flat 96
Hughes flats",57.567719,-5.667691,2022-02-19,,ACTIVE,12446,6291100,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.416136,RETAIL_OPS
CA_0001,Apple Leslieberg,CA,AMER,CA_MB_STD,MINI,Leslieberg,MB,Y4Y 5V3,6133 Barbara Drive,47.018525,-81.11672,2021-11-24,,ACTIVE,14119,6173226,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.416847,RETAIL_OPS
CA_0002,Apple New Holly,CA,AMER,CA_BC_STD,MALL,New Holly,BC,H9N 4E7,790 Hopkins Throughway Suite 186,54.052528,-81.443657,2022-08-12,,ACTIVE,15869,4214892,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.417539,RETAIL_OPS
CA_0003,Apple Port Jennifertown,CA,AMER,CA_NS_STD,MINI,Port Jennifertown,NS,N6E6M9,836 Ashley Highway Suite 652,44.552597,-66.136963,2026-03-07,,ACTIVE,15083,14055173,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.418584,RETAIL_OPS
CA_0004,Apple Toddborough,CA,AMER,CA_QC_STD,MINI,Toddborough,QC,E1S 5K6,4028 Pena Common Suite 506,51.274421,-64.669452,2025-05-25,,ACTIVE,20940,9651778,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.419284,RETAIL_OPS
CA_0005,Apple South Marco,CA,AMER,CA_NB_STD,MALL,South Marco,NB,J6R4X7,422 Michael Mills,43.906264,-126.184097,2020-03-03,,ACTIVE,17223,16675835,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.419977,RETAIL_OPS
CA_0006,Apple North Julieside,CA,AMER,CA_NL_STD,FLG,North Julieside,NL,N5H2N7,180 Tran Summit Apt. 095,43.722584,-72.099131,2017-11-06,,ACTIVE,20312,17760553,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.420653,RETAIL_OPS
AU_0001,Apple Andrewmouth,AU,APAC,AU_QLD_STD,MINI,Andrewmouth,QLD,2572,48/831 Wayne Lees,-32.680857,135.64249,2022-02-23,,ACTIVE,18936,15722466,Y,2026-04-17,9999-12-31,2026-04-17 15:21:50.421352,RETAIL_OPS
